,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
SCO_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT,-65.56486,6.1529703,167.75548,,51.33594,0.4018,0.4023,0.4071,0.41,0.4039,0.3822,0.3671,0.3709,0.3721,0.3711,0.3466,0.3208,0.084,0.1488,0.2667,0.2921,0.2511,0.2235,0.1561,0.0567,0.1074,0.3876,0.0066,0.007392
TAS_L,-66.50168,2.7825692,166.45245,,51.386433,0.3645,0.3595,0.3492,0.3332,0.3185,0.2791,0.2527,0.2473,0.2469,0.2456,0.2271,0.2044,0.054,0.0948,0.167,0.1792,0.1443,0.1224,0.0839,0.0322,0.0525,0.2819,0.0079,0.008847999
TAS_U,-66.47984,2.6755242,166.49763,,51.442596,0.4445,0.441,0.4348,0.4222,0.4084,0.3648,0.337,0.3362,0.3357,0.3347,0.3127,0.2817,0.0769,0.134,0.233,0.2489,0.2054,0.1775,0.1251,0.0502,0.073,0.3755,0.0051,0.005712
TAS_A,-66.51971,2.290243,166.4623,,51.51982,0.5012,0.4971,0.4911,0.4806,0.4665,0.4244,0.4039,0.4105,0.4113,0.4101,0.3901,0.3434,0.0962,0.1685,0.2876,0.309,0.2521,0.2189,0.1598,0.0659,0.0967,0.4477,0.0058,0.006496
QAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_M,107.1151,12.726706,155.73444,,48.19407,0.4155,0.4092,0.3985,0.3853,0.3745,0.3446,0.3298,0.3327,0.333,0.3314,0.3174,0.3021,0.0867,0.1497,0.2572,0.2793,0.2459,0.2222,0.1592,0.0658,0.1102,0.3559,0.0091,0.010192
QAS_U,107.11573,12.871101,155.77267,,48.2636,0.649,0.6527,0.6579,0.6582,0.6489,0.6195,0.6273,0.6474,0.6483,0.6488,0.6313,0.6132,0.177,0.3063,0.5302,0.5814,0.5347,0.4971,0.3719,0.1675,0.3002,0.6426,0.0161,0.018032001
NUK_L,104.22665,29.217203,153.3646,,51.8146,0.4678,0.462,0.4496,0.442,0.432,0.403,0.3946,0.411,0.4132,0.4134,0.3975,0.3865,0.0974,0.1735,0.3247,0.3552,0.3109,0.2768,0.1944,0.0765,0.1281,0.4299,0.0153,0.017136
NUK_U,104.47157,28.422787,153.71132,,51.786133,0.7077,0.7066,0.6977,0.6872,0.6713,0.6279,0.6133,0.6353,0.6394,0.6404,0.6149,0.6019,0.1584,0.2808,0.5121,0.5679,0.5176,0.4778,0.3489,0.1454,0.2679,0.617,0.0119,0.013328
NUK_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_K,102.69381,33.911716,151.1148,,51.887383,0.2948,0.2805,0.2531,0.2218,0.2108,0.1902,0.1793,0.1836,0.1845,0.1843,0.1898,0.2046,0.0563,0.1004,0.1833,0.2047,0.2098,0.2099,0.1667,0.0861,0.2222,0.2387,0.171,0.19152
KAN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_M,104.36959,31.711987,154.84137,,54.054214,0.6397,0.6332,0.6204,0.6002,0.5805,0.5344,0.5222,0.5501,0.5553,0.5556,0.5412,0.5478,0.1596,0.2743,0.4814,0.5261,0.4889,0.4559,0.3351,0.1576,0.2923,0.5503,0.05,0.056
KAN_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_L,-48.003654,3.1173565,-169.73769,,61.85659,0.5051,0.5047,0.5026,0.4963,0.4865,0.4512,0.4403,0.4633,0.4669,0.4679,0.4559,0.4502,0.108,0.2061,0.3901,0.4321,0.4109,0.3899,0.2925,0.127,0.3021,0.4246,0.1386,0.15523201
THU_U,-47.88202,3.1814973,-169.60225,,61.884033,0.7226,0.7277,0.7458,0.7557,0.7457,0.6955,0.6821,0.7136,0.7167,0.7163,0.6892,0.6614,0.1592,0.3025,0.5625,0.6197,0.5563,0.508,0.3744,0.1598,0.2684,0.7078,0.0134,0.015008
EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
