,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
KAN_L,-58.93639,22.910082,176.73683,,51.460175,0.5704,0.5734,0.5848,0.5957,0.5844,0.5487,0.5376,0.5637,0.567,0.5677,0.5559,0.5416,0.1314,0.241,0.4609,0.5135,0.472,0.4361,0.3336,0.1575,0.2578,0.5739,0.0105,0.01176
KAN_M,99.299545,44.53403,147.96811,,54.236206,0.9029,0.8951,0.8831,0.8599,0.8348,0.7699,0.7593,0.8091,0.8182,0.8223,0.8182,0.8282,0.2091,0.3975,0.7408,0.8168,0.8046,0.7886,0.6431,0.3563,0.688,0.7795,0.0731,0.081872
KAN_U,100.95117,40.684536,150.0413,,53.815395,0.9688,0.9633,0.954,0.9275,0.9005,0.8289,0.8118,0.8601,0.8662,0.8698,0.8639,0.8692,0.2344,0.4251,0.7727,0.8514,0.8322,0.8119,0.6856,0.4197,0.6845,0.8471,0.0709,0.079408
UPE_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,-46.58014,9.929005,-168.13336,,60.242214,0.9611,0.9631,0.9671,0.9636,0.9405,0.8765,0.8689,0.917,0.924,0.9259,0.9207,0.9177,0.3039,0.5431,0.8503,0.8952,0.8682,0.8404,0.7109,0.4433,0.6798,0.8872,0.0611,0.068431996
CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
