,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
South Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann Gl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann ELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_U,-52.201893,16.658688,-174.17648,,59.903507,0.474,0.4731,0.4785,0.4801,0.4707,0.4432,0.4299,0.4463,0.4498,0.4494,0.4344,0.4152,0.107,0.1999,0.3579,0.3859,0.3378,0.3026,0.216,0.0827,0.1618,0.45,0.0081,0.009072
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_U,-62.314915,17.611973,172.81172,,53.28326,0.5091,0.5072,0.505,0.5009,0.4879,0.4529,0.4387,0.4567,0.4586,0.4601,0.4408,0.4356,0.1122,0.2055,0.373,0.4077,0.3675,0.3347,0.2293,0.0836,0.1873,0.5009,0.0212,0.023744
TAS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_L,112.398834,30.350666,168.39139,,64.11302,0.5494,0.5423,0.5258,0.5003,0.48,0.4349,0.4142,0.432,0.4334,0.4349,0.4211,0.4101,0.088,0.1704,0.3461,0.3892,0.3555,0.3307,0.252,0.1211,0.2027,0.446,0.0188,0.021056
THU_U,112.519554,30.215776,168.53333,,64.13039,0.7159,0.7143,0.7111,0.6993,0.6796,0.6285,0.6146,0.6487,0.6523,0.6551,0.6382,0.6276,0.1353,0.2631,0.5324,0.5954,0.5539,0.5174,0.4041,0.2106,0.3289,0.6264,0.0197,0.022064
EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,119.183624,21.639227,176.1726,,64.61375,0.8878,0.8876,0.8855,0.8786,0.8576,0.7982,0.7903,0.8447,0.8525,0.8537,0.8495,0.8537,0.2359,0.4618,0.7792,0.8373,0.8215,0.7997,0.6582,0.3772,0.681,0.8168,0.0778,0.087136
THU_U2,112.55586,30.064318,168.565,,64.09003,0.7666,0.7676,0.7737,0.7656,0.7487,0.6955,0.6803,0.719,0.7258,0.7272,0.7096,0.7016,0.1508,0.2926,0.5954,0.6687,0.6318,0.5933,0.4642,0.2375,0.3986,0.7023,0.0235,0.02632
